	GHC.Read.readLitChar	ReadS Char
	GHC.Show.showLitChar	Char -> ShowS
	GHC.Unicode.toLower	Char -> Char
	GHC.Unicode.toTitle	Char -> Char
	GHC.Unicode.toUpper	Char -> Char
ghc-prim-0.10.0	GHC.Prim.coerce	Coercible a b => a -> b
	Data.Complex.cis	Floating a => a -> Data.Complex.Complex a
	Data.Complex.imagPart	Data.Complex.Complex a -> a
	Data.Complex.phase	RealFloat a => Data.Complex.Complex a -> a
	Data.Complex.realPart	Data.Complex.Complex a -> a
	Data.Data.constring	String,
	Data.Data.confields	[String],
	Data.Data.confixity	Data.Data.Fixity,
	Data.Data.datatype	Data.Data.DataType}
	Data.Data.gfoldl	(forall d b.
	Data.Data.gunfold	(forall b r.
	Data.Data.toConstr	a -> Data.Data.Constr
	Data.Data.dataTypeOf	a -> Data.Data.DataType
	Data.Data.dataCast1	base-4.18.3.0:Data.Typeable.Internal.Typeable
	Data.Data.dataCast2	base-4.18.3.0:Data.Typeable.Internal.Typeable
	Data.Data.gmapT	(forall b. Data.Data.Data b => b -> b) -> a -> a
	Data.Data.gmapQl	(r -> r' -> r)
	Data.Data.gmapQr	(r' -> r -> r)
	Data.Data.gmapQ	(forall d. Data.Data.Data d => d -> u)
	Data.Data.gmapQi	Int
	Data.Data.gmapM	Monad m =>
	Data.Data.gmapMp	GHC.Base.MonadPlus m =>
	Data.Data.gmapMo	GHC.Base.MonadPlus m =>
	Data.Data.datarep	Data.Data.DataRep}
	Data.Data.constrFields	Data.Data.Constr -> [String]
	Data.Data.constrFixity	Data.Data.Constr -> Data.Data.Fixity
	Data.Data.constrIndex	Data.Data.Constr -> Data.Data.ConIndex
	Data.Data.constrRep	Data.Data.Constr -> Data.Data.ConstrRep
	Data.Data.constrType	Data.Data.Constr -> Data.Data.DataType
	Data.Data.dataTypeName	Data.Data.DataType -> String
	Data.Data.dataTypeRep	Data.Data.DataType -> Data.Data.DataRep
	Data.Data.fromConstr	Data.Data.Data a => Data.Data.Constr -> a
	Data.Data.isAlgType	Data.Data.DataType -> Bool
	Data.Data.isNorepType	Data.Data.DataType -> Bool
	Data.Data.mkCharType	String -> Data.Data.DataType
	Data.Data.mkFloatType	String -> Data.Data.DataType
	Data.Data.mkIntType	String -> Data.Data.DataType
	Data.Data.mkNoRepType	String -> Data.Data.DataType
	Data.Data.showConstr	Data.Data.Constr -> String
	Data.Data.tyconModule	String -> String
	Data.Data.tyconUQname	String -> String
type (Data.Type.Equality.	~:)	forall {k}. k -> k -> *
	Data.Type.Equality.Refl	forall {k} (a :: k).
type (Data.Type.Equality.	~~:)	forall k1 k2. k1 -> k2 -> *
	Data.Type.Equality.HRefl	forall {k1} (a :: k1).
type ghc-prim-0.10.0	GHC.Types.TyCon	*
type base-4.18.3.0	Data.Typeable.Internal.Typeable	forall k.
base-4.18.3.0	Data.Typeable.Internal.typeRep#	base-4.18.3.0:Data.Typeable.Internal.TypeRep
	(a	k2).
	(t'	k2 -> k3 -> k1) (a :: k2) (b :: k3).
	Data.Typeable.rnfTypeRep	Data.Typeable.TypeRep -> ()
	Data.Typeable.showsTypeRep	Data.Typeable.TypeRep -> ShowS
	Data.Dynamic.Dynamic	base-4.18.3.0:Data.Typeable.Internal.TypeRep
type base-4.18.3.0	Data.Typeable.Internal.Typeable	forall k.
base-4.18.3.0	Data.Typeable.Internal.typeRep#	base-4.18.3.0:Data.Typeable.Internal.TypeRep
	either	(a -> c) -> (b -> c) -> Either a b -> c
	Data.Either.fromLeft	a -> Either a b -> a
	Data.Either.fromRight	b -> Either a b -> b
	Data.Either.isLeft	Either a b -> Bool
	Data.Either.isRight	Either a b -> Bool
	Data.Either.lefts	[Either a b] -> [a]
	Data.Either.partitionEithers	[Either a b] -> ([a], [b])
	Data.Either.rights	[Either a b] -> [b]
	(==)	a -> a -> Bool
	(/=)	a -> a -> Bool
	Data.Fixed.resolution	forall (p :: k -> *). p a -> Integer
	Data.Fixed.div'	(Real a, Integral b) => a -> a -> b
	Data.Fixed.divMod'	(Real a, Integral b) => a -> a -> (b, a)
	Data.Fixed.mod'	Real a => a -> a -> a
	Data.Foldable.fold	Monoid m => t m -> m
	foldMap	Monoid m => (a -> m) -> t a -> m
	Data.Foldable.foldMap'	Monoid m => (a -> m) -> t a -> m
	foldr	(a -> b -> b) -> b -> t a -> b
	Data.Foldable.foldr'	(a -> b -> b) -> b -> t a -> b
	foldl	(b -> a -> b) -> b -> t a -> b
	Data.Foldable.foldl'	(b -> a -> b) -> b -> t a -> b
	foldr1	(a -> a -> a) -> t a -> a
	foldl1	(a -> a -> a) -> t a -> a
	Data.Foldable.toList	t a -> [a]
	null	t a -> Bool
	length	t a -> Int
	elem	Eq a => a -> t a -> Bool
	maximum	Ord a => t a -> a
	minimum	Ord a => t a -> a
	sum	Num a => t a -> a
