letExpr	Parser Expr
letExpr1	[Token] -> Maybe (Expr,[Token])
postfix	Expr -> Parser Expr
postfix1	Expr -> [Token] -> Maybe (Expr,[Token])
returnExpr	Parser Expr
returnExpr1	[Token] -> Maybe (Expr,[Token])
listExprCore	Parser Expr -> Parser Expr
constraintP	Parser Constraint
constraintP1	[Token] -> Maybe (Pattern,[Token])
pConstrOrVar	Parser Pattern
pConstrOrVar1	[Token] -> Maybe (Pattern,[Token])
pInt	Parser Pattern
pInt1	[Token] -> Maybe (Pattern,[Token])
pList	Parser Pattern
pList1	[Token] -> Maybe (Pattern,[Token])
pList2	[Token] -> Maybe (Pattern,[Token])
pParenOrTuple	Parser Pattern
pPattern	Parser Pattern
pPattern1	[Token] -> Maybe (Pattern,[Token])
pPattern2	[Token] -> Maybe (Pattern -> Pattern -> Pattern,[Token])
pPattern3	[Token] -> Maybe (Pattern,[Token])
pWildcard	Parser Pattern
pWildcard1	[Token] -> Maybe (Pattern,[Token])
pWildcard2	[Char]
pattern	Parser Pattern
patternStart	Parser ()
patternStart1	[Token] -> Maybe ((),[Token])
patternStart2	[Char]
patternStart4	[Char]
patternVar	Parser Pattern
patternVar1	[Token] -> Maybe (Pattern,[Token])
simplePattern	Parser Pattern
simplePattern1	[Token] -> Maybe (Pattern,[Token])
simplePattern2	[Token] -> Maybe (Pattern -> Pattern -> Pattern,[Token])
simplePattern3	[Token] -> Maybe (Pattern,[Token])
parseSQL	Parser Expr
parseSQL1	[Token] -> Maybe (Expr,[Token])
parseSQL_kw	String
arrowType	Parser Type
arrowType1	[Token] -> Maybe (Type,[Token])
arrowType2	[Token] -> Maybe (Type,[Token])
arrowType3	[Token] -> Maybe (Type,[Token])
arrowType4	[Token] -> Maybe (Type,[Token])
arrowType5	[Token] -> Maybe (Type,[Token])
constr	Parser Constraint
constr1	[Token] -> Maybe (Constraint,[Token])
constr2	[Token] -> Maybe (Field,[Token])
constraintList	Parser[Constraint]
constraintList1	[Token] -> Maybe ([Constraint],[Token])
constraintList2	[Token] -> Maybe (Constraint,[Token])
constraintList_p	Parser[Constraint]
parseForall	Parser Type
parseForall1	[Token] -> Maybe (Type,[Token])
parseType	Parser Type
parseType1	[Token] -> Maybe (Type,[Token])
typeApp	Parser Type
typeAtom	Parser Type
typeP	Parser Type
typeP1	[Token] -> Maybe (Type,[Token])
builtinEnv	TypeEnv
builtinEnv1	Map Name Scheme
builtinEnv2	Ord Name
builtinOps	[(String, Scheme)]
builtinOps1	[(String, Scheme)]
builtinOps10	[Char]
builtinOps12	Type
builtinOps13	[Char]
builtinOps15	Type
builtinOps16	[Char]
builtinOps18	[Char]
builtinOps2	[(String, Scheme)]
builtinOps20	([Char], Scheme)
builtinOps21	Scheme
builtinOps22	Type
builtinOps23	Type
builtinOps24	Type
builtinOps25	[Char]
builtinOps27	Type
builtinOps28	[Char]
builtinOps3	[(String, Scheme)]
builtinOps30	Type
builtinOps31	[Char]
builtinOps33	[Char]
builtinOps35	([Char], Scheme)
builtinOps36	Scheme
builtinOps37	Type
builtinOps38	Type
builtinOps39	Type
builtinOps4	[(String, Scheme)]
builtinOps40	[Char]
builtinOps42	Type
builtinOps43	[Char]
builtinOps45	Type
builtinOps46	[Char]
builtinOps48	[Char]
builtinOps5	([Char], Scheme)
builtinOps50	([Char], Scheme)
builtinOps51	Scheme
builtinOps52	Type
builtinOps53	Type
builtinOps54	Type
builtinOps55	[Char]
builtinOps57	Type
builtinOps58	[Char]
builtinOps6	Scheme
builtinOps60	Type
builtinOps61	[Char]
builtinOps63	[Char]
builtinOps65	([Char], Scheme)
builtinOps66	Scheme
builtinOps67	Type
builtinOps68	Type
builtinOps69	Type
builtinOps7	Type
builtinOps70	[Char]
builtinOps72	Type
builtinOps73	[Char]
builtinOps75	Type
builtinOps76	[Char]
builtinOps78	[Char]
builtinOps8	Type
builtinOps9	Type
builtinPatternEnv	TypeEnv
builtinPatternEnv1	Map Name Scheme
counter	IORef Int
freshType1	Int -> Either InferError (Type, Int)
generalizeInfer	TypeEnv -> Type -> Scheme
groupDecls	[Decl] -> Map Name ([FunClause], Maybe Type)
mergeEnvs	TypeEnv -> TypeEnv -> TypeEnv
mergeEnvs1	TypeEnv -> TypeEnv -> Map Name Scheme
inferBool1	Int -> Either InferError ((Subst, Type), Int)
inferBool2	Type
inferBool3	[Char]
inferBool_eta	(Subst, Type)
inferChar1	Int -> Either InferError ((Subst, Type), Int)
inferChar2	Type
inferChar3	[Char]
inferChar_eta	(Subst, Type)
inferInt1	Int -> Either InferError ((Subst, Type), Int)
inferInt2	Type
inferInt3	[Char]
inferInt_eta	(Subst, Type)
inferString1	Int -> Either InferError ((Subst, Type), Int)
inferString2	Type
inferString3	[Char]
inferString_eta	(Subst, Type)
inferSQL	String -> [Expr] -> SQLInfo
generalizeAll	TypeEnv -> [(Pattern, Type)] -> [(Pattern, Scheme)]
prettyPrintBinOp	BinOp -> String
prettyScheme	Scheme -> String
prettyType	Type -> String
getVarName	Expr -> String
getVarName1	CallStack
getVarName11	[Char]
getVarName13	[Char]
getVarName2	SrcLoc
getVarName3	Int
getVarName4	Int
getVarName5	Int
getVarName6	Int
getVarName7	[Char]
getVarName9	[Char]
apply	Subst -> Type -> Type
applyConstraint	Subst -> Constraint -> Constraint
composeSubst	Subst -> Subst -> Subst
composeSubst1	Ord String
emptySubst	Subst
singletonSubst	String -> Type -> Subst
applyEnv	Subst -> TypeEnv -> TypeEnv
emptyEnv	TypeEnv
extendEnv	TypeEnv -> Name -> Scheme -> TypeEnv
extendEnv1	TypeEnv -> Name -> Scheme -> Map Name Scheme
freeTypeVars	Type -> [Name]
freeTypeVarsEnv	TypeEnv -> [Name]
freeTypeVarsScheme	Scheme -> [Name]
fromList	[(String, Scheme)] -> TypeEnv
fromList1	[(String, Scheme)] -> Map Name Scheme
generalize	TypeEnv -> Type -> Scheme
instantiate	Scheme -> Either InferError Type
lookupEnv	TypeEnv -> Name -> Maybe Scheme
primitiveEnv	TypeEnv
primitiveEnv1	Map Name Scheme
testEnv	TypeEnv
testEnv1	Map Name Scheme
withTestEnv	TypeEnv
withTestEnv1	Map Name Scheme
unify	Type -> Type -> Either UnifyError Subst
unifyMany	[Type] -> [Type] -> Either UnifyError Subst
myTrace	String -> Parser ()
myTraceIO	String -> IO ()
myTraceIOM	String -> IO ()
setTrace	Bool -> IO ()
traceEnabled	IORef Bool
extractSQLVars	String -> (String,[String])
extractSQLVars_go	[Char] -> [[Char]] -> [Char] -> ([Char],[[Char]])
exprTests	[(String, String)]
exprTests1	[(String, String)]
exprTests10	[Char]
exprTests2	([Char],[Char])
exprTests3	[Char]
exprTests5	[Char]
exprTests7	([Char],[Char])
exprTests8	[Char]
main	IO ()
runParserWithTrace	Parser a -> [Token] -> IO (Maybe a)
testCases	[TestCase]
testCases1	[(String, String)]
testCases10	[(String, String)]
testCases101	[Char]
testCases103	([Char],[Char])
testCases104	[Char]
testCases106	[Char]
testCases108	([Char],[Char])
testCases109	[Char]
testCases11	[(String, String)]
testCases111	[Char]
testCases113	([Char],[Char])
testCases114	[Char]
testCases116	[Char]
testCases118	([Char],[Char])
testCases119	[Char]
testCases12	[(String, String)]
testCases121	[Char]
testCases123	([Char],[Char])
testCases124	[Char]
testCases126	[Char]
testCases128	([Char],[Char])
testCases129	[Char]
testCases13	[(String, String)]
testCases131	[Char]
testCases133	([Char],[Char])
testCases134	[Char]
testCases136	[Char]
testCases138	([Char],[Char])
testCases139	[Char]
testCases14	[(String, String)]
testCases141	[Char]
testCases143	([Char],[Char])
testCases144	[Char]
testCases146	[Char]
testCases148	([Char],[Char])
testCases149	[Char]
testCases15	[(String, String)]
testCases151	[Char]
testCases153	([Char],[Char])
testCases154	[Char]
testCases156	[Char]
testCases158	([Char],[Char])
testCases159	[Char]
testCases16	[(String, String)]
testCases161	[Char]
testCases163	([Char],[Char])
testCases164	[Char]
testCases166	[Char]
testCases168	([Char],[Char])
testCases169	[Char]
testCases17	[(String, String)]
testCases171	[Char]
testCases173	([Char],[Char])
testCases174	[Char]
testCases176	[Char]
testCases178	([Char],[Char])
testCases179	[Char]
testCases18	[(String, String)]
testCases181	[Char]
testCases183	([Char],[Char])
testCases184	[Char]
testCases186	[Char]
testCases188	([Char],[Char])
testCases189	[Char]
testCases19	[(String, String)]
